
=== Target Sell Zone (2021-05-10 to 2022-04-12) ===
Date         | Close    | RSI    | EMA200   | Ext%   | Stoch Bear
2021-12-19   | 3924.54  | 44.39  | 3446.94  | 13.86  |           
2021-12-20   | 3944.15  | 45.00  | 3451.89  | 14.26  |           
2021-12-21   | 4018.28  | 47.34  | 3457.53  | 16.22  |           
2021-12-22   | 3981.18  | 46.28  | 3462.74  | 14.97  |           
2021-12-23   | 4112.82  | 50.52  | 3469.20  | 18.55  |           
2021-12-24   | 4049.12  | 48.52  | 3474.98  | 16.52  |           
2021-12-25   | 4097.34  | 50.13  | 3481.17  | 17.70  |           
2021-12-26   | 4064.00  | 48.99  | 3486.97  | 16.55  |           
2021-12-27   | 4038.04  | 48.07  | 3492.45  | 15.62  |           
2021-12-28   | 3792.68  | 40.39  | 3495.44  | 8.50   | YES       
2021-12-29   | 3628.97  | 36.23  | 3496.77  | 3.78   |           
2021-12-30   | 3710.11  | 39.55  | 3498.89  | 6.04   |           
2021-12-31   | 3676.83  | 38.66  | 3500.66  | 5.03   |           
2022-01-01   | 3767.54  | 42.46  | 3503.32  | 7.54   |           
2022-01-02   | 3830.84  | 45.02  | 3506.57  | 9.25   |           
2022-01-03   | 3765.49  | 42.90  | 3509.15  | 7.30   |           
2022-01-04   | 3785.76  | 43.79  | 3511.90  | 7.80   |           
2022-01-05   | 3538.64  | 36.38  | 3512.17  | 0.75   |           
2022-01-06   | 3406.91  | 33.16  | 3511.12  | -2.97  | YES       
2022-01-07   | 3197.03  | 28.79  | 3508.00  | -8.86  |           
2022-01-08   | 3080.54  | 26.69  | 3503.74  | -12.08 |           
2022-01-09   | 3151.52  | 30.04  | 3500.24  | -9.96  |           
2022-01-10   | 3084.39  | 28.71  | 3496.10  | -11.78 |           
2022-01-11   | 3240.99  | 35.88  | 3493.56  | -7.23  |           
2022-01-12   | 3373.42  | 41.25  | 3492.37  | -3.41  |           
2022-01-13   | 3241.30  | 37.84  | 3489.87  | -7.12  |           
2022-01-14   | 3309.83  | 40.59  | 3488.08  | -5.11  |           
2022-01-15   | 3329.28  | 41.38  | 3486.50  | -4.51  |           
2022-01-16   | 3347.78  | 42.17  | 3485.12  | -3.94  |           
2022-01-17   | 3244.02  | 39.00  | 3482.72  | -6.85  |           
2022-01-18   | 3206.56  | 37.89  | 3479.97  | -7.86  | YES       
2022-01-19   | 3148.64  | 36.18  | 3476.67  | -9.44  |           
2022-01-20   | 3086.41  | 34.38  | 3472.79  | -11.13 |           
2022-01-21   | 2762.21  | 26.89  | 3465.72  | -20.30 |           
